Info 0    [18:28:54.851] Starting TS Server
Info 1    [18:28:54.852] Version: 4.3.5
Info 2    [18:28:54.852] Arguments: C:\Program Files\nodejs\node.exe c:\Users\Bruno\AppData\Roaming\npm\node_modules\typescript\bin\tsserver --logFile d:\phonespeak\.log\tsserver.log --logVerbosity info --cancellationPipeName C:\Users\Bruno\AppData\Local\Temp\1ade76fc9d2f5e880b70e7675ddd58e5\tscancellation*
Info 3    [18:28:54.852] Platform: win32 NodeVersion: 14 CaseSensitive: false
Info 4    [18:28:54.852] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [18:28:54.874] Search path: d:/phonespeak
Info 6    [18:28:54.874] For info: d:/phonespeak/phonespeak.js :: No config files found.
Info 7    [18:28:54.878] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 8    [18:28:56.095] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 1216.5307000279427ms
Info 9    [18:28:56.095] Project '/dev/null/inferredProject1*' (Inferred)
Info 10   [18:28:56.095] 	Files (19)

Info 11   [18:28:56.095] -----------------------------------------------
Info 12   [18:28:56.571] Format host information updated
Info 13   [18:28:56.811] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 14   [18:28:56.818] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false Elapsed: 6.945500016212463ms
Info 15   [18:28:56.818] Different program with same set of files:: structureIsReused:: 2
Info 16   [18:29:07.153] FileWatcher:: Triggered with d:/phonespeak/phonespeak.js 2:: WatchInfo: d:/phonespeak/phonespeak.js 500 undefined WatchType: Closed Script info
Info 17   [18:29:07.153] Elapsed:: 0.40139997005462646ms FileWatcher:: Triggered with d:/phonespeak/phonespeak.js 2:: WatchInfo: d:/phonespeak/phonespeak.js 500 undefined WatchType: Closed Script info
Info 18   [18:29:15.487] Search path: d:/phonespeak
Info 19   [18:29:15.488] For info: d:/phonespeak/phonespeak.user.js :: No config files found.
Info 20   [18:29:15.488] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 21   [18:29:15.499] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: true Elapsed: 10.614499986171722ms
Info 22   [18:29:15.499] Project '/dev/null/inferredProject1*' (Inferred)
Info 23   [18:29:15.499] 	Files (19)

Info 24   [18:29:15.499] -----------------------------------------------
Info 25   [18:29:15.560] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 26   [18:29:15.572] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false Elapsed: 11.375900030136108ms
Info 27   [18:29:15.572] Different program with same set of files:: structureIsReused:: 2
Info 28   [18:31:59.391] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 29   [18:31:59.400] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false Elapsed: 8.77999997138977ms
Info 30   [18:31:59.400] Different program with same set of files:: structureIsReused:: 2
Info 31   [18:32:00.314] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 32   [18:32:00.319] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false Elapsed: 5.233900010585785ms
Info 33   [18:32:00.319] Different program with same set of files:: structureIsReused:: 2
Info 34   [18:32:01.253] Format host information updated
Info 35   [18:32:01.504] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 36   [18:32:01.510] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false Elapsed: 6.186699986457825ms
